iter	Passed	Remaining
954	28940	1363
955	28971	1333
956	29011	1303
957	29043	1273
958	29078	1243
959	29114	1213
960	29150	1182
961	29187	1152
962	29216	1122
963	29239	1091
964	29266	1061
965	29289	1030
966	29319	1000
967	29351	970
968	29382	939
969	29408	909
970	29439	879
971	29466	848
972	29492	818
973	29514	787
974	29541	757
975	29563	726
976	29588	696
977	29619	666
978	29645	635
979	29673	605
980	29703	575
981	29727	544
982	29752	514
983	29777	484
984	29799	453
985	29822	423
986	29850	393
987	29879	362
988	29906	332
989	29934	302
990	29957	272
991	29980	241
992	30008	211
993	30031	181
994	30059	151
995	30083	120
996	30110	90
997	30133	60
998	30161	30
999	30190	0
